PRICE,DOTEST,LBERATIO,STATUS,DISTRICT,NUMBIDS,DAYSEST,RDLNGTH,PCTASPH,PCTBASE,PCTEXC,PCTMOB,PCTSTRC,PCTTRAF,SUB
210,178,1.18,1,5,2,110,,85.6,0,0,4.8,0,6,0
139,174,0.8,0,5,5,70,,45.6,36.2,8.4,2.2,0,4.6,0
640,768,0.83,0,5,4,90,,85.6,0,7.6,0.8,0,3.1,0
496,879,0.56,0,5,7,140,9.8,41.8,36.1,8.6,1.3,1.5,2.7,1
463,465,1,1,5,2,90,,77.3,0,10.5,1.4,0,5.8,0
587,710,0.83,0,5,6,120,10.3,62.9,18.9,8,1.6,1.8,2,0
193,228,0.85,0,1,5,60,7.3,83.3,0,14.3,0.3,0,2.1,0
143,173,0.83,0,5,6,50,,82.2,0,11.9,0.7,0,1.6,0
202,300,0.67,0,5,5,100,18,91.4,0,0,0.2,0,0.2,0
100,119,0.84,1,5,5,70,0,26.3,25.7,11.5,10,11.6,6.2,0
258,306,0.84,0,5,7,75,6.4,78.1,14.3,1.7,0.3,0,0.7,0
115,118,0.98,0,1,12,65,2.8,64.7,27.7,2.6,0.9,0,0.4,0
85,98,0.87,0,5,6,50,2,57.4,20.5,3.7,1.8,10.2,2.4,0
44,41,1.06,0,1,4,30,1.8,87.6,0,10.7,0.6,0,1.1,0
148,143,1.03,1,5,3,50,6.3,88.1,0,6.6,1,0,1,0
45,68,0.66,0,5,3,65,3.6,89.3,0,0,2,0,4.4,0
495,542,0.91,0,5,5,140,,89.4,0,4.4,0.3,0,1.4,0
151,174,0.86,0,5,3,110,8.8,70.3,23.6,0,2.2,0,3.9,0
240,315,0.76,0,1,4,100,4,56.4,0,8.4,0.4,13.1,1.7,0
261,352,0.74,0,1,4,120,4.5,65,0,6,0.4,3.1,1.5,0
77,101,0.77,0,5,3,90,1.6,83.5,0,6.6,1.3,0,2.6,0
836,1047,0.8,0,5,2,250,,60.4,0,15.1,0.2,6.7,1,1
347,394,0.88,0,5,3,150,6.2,67.1,14.3,10.7,0.3,1.2,3.5,0
359,333,1.08,0,1,5,190,0,27.1,37,23,1.1,2.7,5.3,0
481,480,1,0,5,4,125,14.3,83.9,0,6.3,2.5,0,3.6,0
201,183,1.1,0,5,3,90,5.6,82.8,8.4,0.9,4,0,4,0
92,100,0.91,0,1,4,90,0,18.1,7.2,23.3,2.2,7.8,16.9,0
546,623,0.88,0,5,3,165,5.9,50.9,0,8.5,0.7,24.5,3.3,0
78,74,1.04,1,5,2,75,1.2,60.7,0,0,10.3,0.7,15.5,0
260,320,0.81,1,5,4,90,0,79.8,0,4.5,3.5,0,8.5,0
473,548,0.86,0,5,3,130,4.2,73.8,0,3.4,4.2,3.7,2.1,0
139,123,1.13,0,1,3,150,0,28.5,5.7,15.6,3.6,10.5,7.2,0
1731,1673,1.04,0,1,3,400,0,2.6,9.7,13.6,2.3,17.3,3.1,0
2996,3453,0.87,0,1,2,595,0,30.3,23.5,10.2,2,24.8,2.1,0
2130,2020,1.05,0,1,5,450,0,16.6,16.5,16.3,6.9,19.1,5.5,0
182,195,0.93,0,1,5,60,,76.4,16.6,2.5,1.7,0,1.1,0
2301,2506,0.92,0,5,7,400,1.9,10.2,16.5,25.2,1,30.1,1.6,0
258,206,1.25,1,1,4,130,,70.2,9.1,7.9,0.8,0,4.3,1
114,132,0.86,0,2,9,70,2,24.5,35.7,19,0.9,7.8,4.9,0
249,236,1.06,1,1,2,80,,88,0,4,0,0,8,0
384,411,0.93,1,1,3,60,,87.8,0,4,2.3,0,5.8,0
196,199,0.98,0,1,3,50,3.5,86.8,0,3.3,4.1,0,5.8,0
132,99,1.34,1,1,2,50,,13.7,9.6,15.7,4.6,1.4,12.4,0
2473,2618,0.94,0,1,4,630,3,21.2,17.2,5.7,2,39.6,3.2,0
5196,6365,0.82,0,1,9,805,4.3,12.3,14.3,35.8,4.3,20.2,1.4,0
1571,1759,0.89,0,1,5,385,,10.9,18.3,20.8,4.1,25.9,1.8,0
3865,3991,0.97,0,1,7,800,2.8,12.3,14.6,19.9,4.4,38.8,1.3,0
646,819,0.79,0,1,5,400,0,2,2,35.8,3.1,45.4,6.2,0
225,223,1.01,1,1,2,60,8.9,92.9,0,0,3.3,0,3.8,0
64,67,0.95,1,1,2,55,,55.2,0,0,3.1,0,2.8,0
10270,10467,0.98,0,1,8,720,0,1.4,4.1,23.8,2.9,26.9,0.4,0
2141,2152,0.99,0,1,3,400,12.8,59.2,4.4,1.8,3.5,13.9,7.7,0
66,49,1.35,0,1,2,30,0,17.4,2.6,6,18.9,0,5.6,0
1270,1306,0.97,1,1,3,195,,65.7,11.8,6.3,3.3,4.2,5.6,0
1055,1149,0.92,0,1,5,400,0,4.7,6.5,33.2,6.2,38.3,7.1,0
856,938,0.91,0,1,4,375,0,2.4,4.8,20.7,6.1,54.4,5.7,0
890,803,1.11,1,1,2,120,0,75.1,0,6.7,6.2,0.2,7.1,0
927,902,1.03,0,1,3,400,0,0.9,1.3,33.9,8.1,50.1,3.9,0
425,389,1.09,1,1,2,45,0,74.2,0,0,7.1,0.6,12.7,0
340,429,0.79,0,1,3,165,0,35.8,0,6.5,7.9,5.7,5.6,0
5655,5448,1.04,1,1,3,500,,30,1.9,19.4,6.2,0.9,3.5,0
136,181,0.75,0,1,3,100,,10.3,16.6,16.5,3.1,16.1,5.5,0
2527,2617,0.97,0,1,4,350,2.2,35.6,8.4,7.7,1.8,26.7,3,0
727,778,0.93,0,1,5,220,1,22,16.7,7.7,2.1,35.3,2.2,0
128,152,0.85,0,1,3,75,,80.9,0,4,2,4.5,5.8,0
347,331,1.05,0,5,5,190,0,39.7,7.2,25,1.3,10.4,3,0
321,357,0.9,1,1,2,190,0,37.2,1,10.4,1.6,17.1,5.6,0
550,413,1.33,1,1,3,120,,58.5,3.3,10.4,3.2,12.4,4.8,0
64,57,1.11,1,1,2,70,0.2,3.9,4.7,12.6,7.9,0.5,7.2,0
200,169,1.18,1,1,3,90,0,61.8,7.1,6.5,3.3,3.6,7.5,0
657,751,0.87,1,1,4,180,6.3,43.2,15.7,13.2,6.9,10.4,3,0
1950,1881,1.04,1,1,4,330,0,19,20.1,33,4.4,14.7,2.2,0
242,244,0.99,1,1,3,45,1.6,80.4,0,1.9,5.2,0,5.4,0
66,82,0.8,0,1,4,60,0,29.9,14.3,15.1,7.9,11.2,13.8,0
9453,9480,1,0,1,6,500,2.7,0.9,15.9,42.2,6.2,14.3,1.5,0
161,164,0.98,0,1,12,100,1.6,18,41.1,23.6,1.9,2.6,6.7,0
1379,1386,1,1,5,4,250,9,10.7,24.5,40.3,0,11.3,2.5,0
202,249,0.81,0,5,4,120,1.8,3.6,31.6,27.1,0,11,1.7,0
397,467,0.85,0,5,4,180,0,4.8,19.4,16.8,0,17.4,4.1,0
375,432,0.87,0,2,4,120,0,16.5,31.8,34,1.1,5,2.2,0
613,616,1,0,5,2,160,0,8.8,10,16.6,0.8,2.9,3.8,0
537,676,0.79,0,2,8,225,2.4,14.1,21.1,20.9,2.8,17.8,3,0
216,406,0.53,0,1,14,130,,14.1,34.8,32.9,1.2,7.9,4.3,0
189,270,0.7,0,3,12,115,3,15.2,22,33.2,0.5,14.4,1.1,0
93,92,1.01,0,5,5,60,0,40.3,20.5,22.5,0.1,7.1,0.7,0
1115,1149,0.97,0,2,9,250,0.1,16.8,14.7,24.4,0.4,22.8,1.3,0
698,646,1.08,0,2,7,180,1.6,26.5,13.6,20.1,0.1,28.5,0.9,0
94,116,0.81,0,5,7,75,1.2,18.9,40.8,26.1,0.5,4.6,0.6,0
1157,891,1.3,1,5,3,450,0,12.5,10.6,19.3,6.3,30.6,4.1,0
235,231,1.02,1,5,5,90,2.8,74.1,0,5.6,8.5,4,4.3,0
202,197,1.03,1,5,2,90,4.5,72.9,0,6,7.4,0,7.4,0
301,303,0.99,1,5,3,110,0,67.1,0,12.6,6,0.3,3.8,0
512,559,0.92,1,5,1,180,7.5,59.9,0.4,11.2,3.9,13.3,5.9,1
899,872,1.03,1,5,2,165,7.2,69.7,0,12,5.6,3.1,3.4,0
124,107,1.16,0,1,2,45,4,95.6,0,0,0.4,0,4,0
231,260,0.89,1,1,3,125,0,0,0,8.7,5.6,60.8,23.9,0
292,246,1.19,1,1,2,45,8,94.3,0,0,0,0,5.7,0
134,86,1.56,1,1,3,45,1.9,77.6,0,0,0,0,22.4,0
400,473,0.85,1,1,3,70,,82.9,0,3.5,1.5,0,12,0
285,316,0.9,0,1,3,110,4.3,39.5,0,0,0.9,0,1.1,0
139,152,0.92,0,1,3,60,4.6,96.1,0,0,1.4,0,2.4,0
87,75,1.16,1,1,2,60,2,91.4,0,0,4,0,4.6,0
99,82,1.2,1,1,2,50,,52.9,0,0,9.3,2.8,4.6,0
47,43,1.09,1,1,2,45,0,48.6,0,6.4,10,0,19.2,0
347,324,1.07,1,1,2,60,0,82.8,0,0,2.9,5.4,5.8,0
3930,3942,1,0,2,8,400,,14.5,14.1,15.5,0.6,31.3,3.2,0
2347,2448,0.96,0,2,8,455,0,15.5,15.9,32,2.1,27.1,0.6,0
258,182,1.42,1,1,4,130,0,26.8,9.3,15,7.7,12.4,6.7,0
5212,5091,1.02,0,1,9,500,0,16.4,17.3,30.8,1.1,25,1.2,0
354,370,0.96,0,1,4,75,0,59.8,0,8.8,5.3,13.3,2,0
400,497,0.81,0,1,5,90,,46.4,0,7.1,4.5,28.3,3.7,0
832,907,0.92,0,1,9,190,5.4,21.4,28.2,25,0.3,13.5,2.9,0
796,970,0.82,0,3,7,175,6.5,25.6,25.3,23.2,1.3,13.7,1.7,0
303,341,0.89,0,5,7,210,0,9,29.4,37.5,1,13.6,0.4,0
106,95,1.11,0,5,6,125,,15.2,4.8,12.3,2.4,12.5,5.5,0
463,475,0.98,0,5,8,215,0,17.1,24.7,27.7,3.9,13.9,2.3,0
1462,1775,0.82,0,1,8,220,2.5,18.2,15.4,40.4,2.7,16.2,0.2,0
4385,5557,0.79,0,1,7,600,2.6,12.3,13.6,34.7,1.8,23.6,1.1,0
4498,5186,0.87,0,1,5,750,,11.7,12.8,34.3,2.2,23.8,1.4,0
2976,2832,1.05,0,1,6,440,4,16.2,19.4,37.3,1.5,15.5,0,0
7386,8461,0.87,0,4,3,505,0,12,12.4,45.6,2.8,15.9,0.7,0
125,122,1.03,0,5,4,40,,80.7,0,9.3,0.8,0,5.2,0
117,114,1.02,0,5,4,35,3.2,94.9,0,0,0.9,0,4.3,0
749,859,0.87,0,5,13,180,0.9,15.2,17.6,5.3,0,41.4,1.6,0
924,887,1.04,0,5,7,130,22.1,76.9,10.7,2.6,1.7,1.9,1.8,0
673,656,1.03,0,5,5,100,20.5,84.6,0,6.8,2.4,0,2.7,0
82,93,0.88,0,5,3,100,0.6,65,0,0,2.7,0,6.1,0
740,810,0.91,0,5,4,175,11.2,56.4,0,8.7,3.2,14.8,3.9,0
912,1138,0.8,0,5,2,220,2.2,24.9,21.1,12.5,3.4,0.7,5.1,0
577,701,0.82,0,5,2,150,4.2,62.3,0,4.1,5.4,13,3.8,1
120,122,0.98,0,5,4,90,,47.4,0,0,7.4,0,3.4,0
3185,3373,0.94,0,1,7,240,,79.6,0,1.9,2.3,1.9,5.7,0
1128,1009,1.12,1,5,3,200,0,31.9,0,13.1,0,18.7,12.9,0
787,734,1.07,1,5,2,150,,50.4,0,14.4,1.6,5.6,11,0
2285,1499,1.52,1,5,3,270,,22.2,12.2,23.3,2.2,16.9,6.4,0
88,143,0.62,0,5,5,55,0,7.6,13.2,22.1,0.6,4.5,1.1,0
729,763,0.96,0,2,11,200,0.7,14.1,13.6,9.7,2.1,39.5,4.8,0
2921,2812,1.04,0,5,5,315,,9.6,9.3,20.5,0.9,37.5,2.3,0
33,40,0.81,0,5,7,35,3.6,5.8,0,15.9,1.5,23.7,2.5,0
2160,2699,0.8,0,5,7,360,2.9,16.8,16.3,14.1,0.9,28.8,3.5,0
690,802,0.86,0,5,5,210,1.2,19.9,16.7,11.8,0.6,25.6,3.9,0
170,187,0.91,0,5,3,100,0.2,20.9,16.3,17.1,0.9,19.4,5.8,0
23,22,1.04,0,5,2,45,0.2,22.3,18.9,18.4,3.8,0,7.7,0
78,110,0.71,0,5,3,80,,14.9,13.5,5.7,0.9,20.7,5.8,0
1049,1041,1.01,0,5,8,300,0,13.8,16.2,9.4,1.2,38.1,2.6,0
254,271,0.94,0,5,3,200,0,14.2,11.6,12.5,2.5,14.8,5.4,0
1398,1415,0.99,0,5,5,460,0,17.7,19.1,14,1.4,30.5,1.3,0
123,132,0.93,0,5,3,130,0,0,0,61.3,13.6,12.2,4,0
117,100,1.17,1,5,3,100,,32.2,14.7,8.1,13.7,1.8,12.1,0
234,180,1.3,0,5,4,170,0,22.6,22.2,18.1,4.7,10.8,9.1,0
208,214,0.97,0,5,3,155,,4,0.7,25.2,9.6,26.7,21.4,0
4448,4198,1.06,1,5,3,660,0,15.9,19.4,14,1.9,26.1,4.8,0
2815,2817,1,0,5,6,540,0,12.8,17,12.5,2.5,39.4,3.8,1
153,161,0.95,0,5,6,155,0,1.5,0,17.1,1,41.5,0.7,0
8992,10744,0.84,0,1,10,650,0,20.1,19.7,30.5,3.3,20.9,0.4,0
10480,10276,1.02,0,1,11,570,0,20.9,18.2,29.6,2,22.9,0.6,1
256,437,0.59,0,2,15,125,,30.5,32.7,22.8,0.4,4.8,0.2,0
479,487,0.98,0,2,8,140,1.4,42.5,17.1,19.2,0.1,8,2,0
189,202,0.93,0,2,7,120,0.4,7.3,9.8,16.5,0.5,36.1,1,0
159,118,1.35,1,5,3,80,0,4.3,20.7,32,0,1.9,18.9,0
197,235,0.83,0,5,7,120,,8.1,18.9,14.1,1.8,41.2,9,0
1565,1303,1.2,1,5,3,200,23.5,42.2,32.4,4.9,7.7,0,6.7,0
830,715,1.16,1,5,4,135,18,45,29.6,6.5,4.8,0,8.4,0
179,209,0.86,0,1,5,90,4.8,85.5,4.5,6.1,1.1,0,2.2,0
36,64,0.56,0,1,5,60,0.1,13.4,24.7,19.1,1.4,0,13.8,0
51,60,0.85,0,5,4,50,0.8,12.9,18.4,12.4,0.2,7.6,0.3,0
2150,2161,0.99,0,5,10,400,,19.4,10.3,10.3,6.2,32.3,1.4,0
463,505,0.92,0,5,4,175,,70.4,5.6,9.7,0.3,6.7,2,0
761,718,1.06,1,5,3,185,7.3,56.8,1,5.7,1.3,0.8,3.7,0
1272,949,1.34,1,5,5,450,0,12.6,13.2,15,6.6,29.8,2.9,0
888,883,1.01,1,5,5,250,10.9,45.2,14.3,20.9,3.9,6.8,3,0
357,331,1.08,1,5,2,125,0,27.3,10.7,11.8,4.8,27.5,7.6,0
227,174,1.3,1,5,2,50,2.7,57.7,0,4.7,9.7,0,5.3,0
1078,879,1.23,1,5,4,190,8,52.2,0,6.6,8.3,7.7,2.3,0
117,112,1.04,1,5,2,90,,14.2,10.5,19.7,9.1,0,17.8,1
36,42,0.87,0,1,3,45,0.6,93.1,0,0,2.7,0,4.1,1
183,223,0.82,0,5,2,90,,81.4,0,12.5,1.1,0,3,0
108,100,1.09,0,5,3,65,0,84.9,0,0,6.9,0,5.6,0
32,28,1.12,0,5,3,60,0.8,58.4,0,7.8,17.3,0,8.1,0
268,250,1.07,1,5,4,255,0,4.5,1.7,6.6,9.3,40.8,26.3,0
834,860,0.97,1,5,4,450,0,1.8,2.3,12.8,9,35.2,29.3,0
431,360,1.2,1,5,2,70,14.8,74.1,0,7.2,0,0,9.5,0
2369,2457,0.96,0,5,4,320,2.2,10.3,15.4,17.9,2.7,22.7,3.5,1
150,199,0.76,0,5,7,100,1.6,24,40.7,18.4,1.7,0,1.7,0
464,540,0.86,0,1,10,120,,75,19.5,1.7,1.9,0,1.7,0
145,147,0.98,1,5,2,85,1,46.6,9.8,13.7,3.1,4.3,10,0
245,222,1.1,1,5,4,90,4.7,79.8,0,8.3,3.1,0,5.3,0
890,757,1.18,1,5,2,145,10.7,86.5,0,5.9,1.2,0,3.4,0
490,382,1.28,1,5,2,100,,79.5,0,10.2,2.4,0,3.3,0
227,210,1.08,1,5,2,70,7.9,72.1,0,0,11.5,0,8.8,0
1799,1604,1.12,1,5,2,300,,37.5,0,1.4,2.4,0,3.9,1
396,419,0.95,0,5,3,185,5.9,47.6,0,22.5,1.3,2.6,2.5,0
3911,3406,1.15,1,1,5,350,1,0.5,3.1,25.5,5.8,36.9,11.3,0
7387,6108,1.21,0,1,4,340,,19.8,0,18.3,4.6,3.2,12.1,0
1208,1230,0.98,0,5,4,295,8.3,73.8,0,1.5,9.9,7.1,2.5,0
170,197,0.87,0,5,3,75,,93.6,0,0,1.2,0,1.6,0
35,39,0.9,0,1,3,45,0.5,27.9,45.4,9.8,10.5,0,2.1,0
2281,2824,0.81,0,4,8,330,0,13.5,10.9,39.6,2.5,17.5,1.3,0
46,62,0.74,0,1,8,60,0.1,0,0,0,2.4,95.2,2.4,0
1370,1378,0.99,0,2,7,400,3.2,18.5,21.6,35,2.9,13.1,2.4,0
1404,1574,0.89,0,5,7,550,0,13.7,16.9,20.9,6.9,18.6,1.4,0
1692,1627,1.04,0,5,5,600,,11.7,15.9,6.6,5.3,37.2,1.8,0
391,359,1.09,1,5,3,100,6.4,83.1,0,4.1,2,0,4.1,0
393,491,0.8,0,1,9,180,2.2,11.7,12.4,15.9,7.3,38.5,1.9,0
167,132,1.26,1,5,3,120,1.1,41,6.7,34.5,4.5,2.5,7.5,0
6043,7075,0.85,0,4,11,350,,17.2,14.2,35.6,4.1,19.6,0.1,0
1928,1766,1.09,1,1,2,190,0.6,3.8,5.8,43.3,7,26.3,3.5,0
208,168,1.24,1,1,4,60,0.2,19.7,0,25.7,8.7,0.3,18.8,0
300,247,1.21,1,1,3,80,0,15.5,36.6,24.5,2.7,1.7,16.1,0
169,145,1.17,0,1,3,145,0.2,13.1,18.2,6.2,7.8,11.6,4.9,0
418,378,1.11,1,1,2,150,,31.7,15.3,6.9,5.6,16.9,8.6,0
142,107,1.33,1,1,2,90,0,42.1,0,6.5,7.7,12.9,10.1,0
117,126,0.93,0,1,3,80,0.2,24.4,15.6,10.9,13,5,8.1,0
988,1004,0.98,1,1,2,180,,16.3,7.8,4.7,5.1,2.4,2.7,0
1136,1079,1.05,1,1,2,250,0,17.9,4,9.6,6,23.3,4.3,0
462,444,1.04,0,1,4,120,0,44.5,13.8,2.5,8.1,21.4,5.3,1
3816,4961,0.77,0,1,4,450,2.4,10.2,12.5,40.6,4.1,18.5,0,0
2518,3124,0.81,0,4,12,255,6.2,30.2,18.4,23.4,0.7,17.5,0.8,0
638,627,1.02,0,2,4,140,1.9,14.5,32.5,21.3,2,17.6,8.1,0
1139,1255,0.91,0,2,13,200,4.6,40.6,27.4,14.4,0.8,8.8,0.9,0
581,675,0.86,0,2,9,225,1.6,9.9,3.5,14.9,0.9,27.9,1,0
446,435,1.02,0,2,7,150,0.8,11.4,11.7,19.5,1.8,29.2,4.8,0
2966,4433,0.67,0,5,4,720,0,13.2,15.9,13.5,0.5,31.1,3,1
5734,5427,1.06,0,1,8,700,5,14.5,19.5,31.6,1.7,22.8,0.7,0
5885,6097,0.97,0,1,7,900,4.1,13.9,23.9,30.3,0.5,18.2,0.4,0
1218,1341,0.91,0,2,11,350,2,14.2,13.2,17.5,1.2,26.9,3.4,0
2229,2435,0.92,0,2,6,450,,21,14.5,12.2,1.6,28.2,2.7,0
169,164,1.03,0,2,8,30,,97.6,0,0,1.2,0,1.2,0
96,96,1,0,2,8,30,,95.8,0,0,2.6,0,1.6,0
107,108,0.99,0,2,7,30,,93.5,0,0,2.8,0.4,2.9,0
667,642,1.04,0,2,5,240,0,49.3,5.5,23.2,0.7,11.1,4.5,0
